firstname,lastname,team,age,trueShooting,usage,assist,rebound,defensive,blocks
Olwen,Hortensia,Philadelphia 76ers,21,51.92,23.72,10.06,47,87.27,94.72
Leeanne,Gilmour,Chicago Bulls,29,98.38,68.78,83.45,38.96,87.46,19.92
Feliza,Ietta,Toronto Raptors,30,26.95,32.75,7.69,71.99,69.02,66.14
Edee,Colbert,Utah Jazz,20,5.86,28.26,48.9,80.83,8.52,54.01
Lulita,Huggins,Dallas Mavericks,18,43.88,98.92,75.51,11.16,9.73,36.67
Isa,Pond,Oklahoma City Thunder,29,14.48,93.26,2.65,91.02,86.35,40.59
Hermione,Chrystel,Brooklyn Nets,27,93.57,5.49,58.7,62.78,85.47,76.15
Sandie,Pauly,Miami Heat,18,32.38,22.8,48.29,4.06,73.17,3.9
Kassey,Cyrie,New York Knicks,19,65.2,10.71,63.3,47.48,61.21,51.14
Corly,Noam,LA Clippers,21,49.21,72.61,65.07,20.63,97.8,67.6
Jean,Henebry,Milwaukee Bucks,25,50.18,28.26,93.6,56.99,45.75,45
Brynna,Damarra,Philadelphia 76ers,22,44.45,48.54,19.42,61.74,27.37,59.55
Oona,Cleo,Memphis Grizzlies,23,17.23,73.68,30.88,63.06,57.86,89.98
Arlina,Marijo,Minnesota Timberwolves,19,37.3,46.22,88.65,13.92,67.54,10.7
Jobi,Halla,Chicago Bulls,30,16.69,80.57,65.61,84.45,28.09,31.51
Wilma,Lynn,Orlando Magic,29,45.77,75.61,42.45,1.67,76.02,98.19
Annice,Fulmer,Memphis Grizzlies,30,45.39,78.33,74.97,95.73,5.12,83.88
Shel,Fiann,New York Knicks,21,90.84,27.62,22.21,8.72,41.17,27.13
Petronia,Paine,Detroit Pistons,25,29.6,95.37,10.03,29.45,41.7,52.71
Elmira,Georas,Cleveland Cavaliers,20,24.91,82.6,94.05,64.25,26.74,33.73
Rhoda,Rugen,Washington Wizards,23,19.35,22.02,90.75,73,10.23,45.84
Winny,Dudley,Atlanta Hawks,24,62.52,30.74,43.21,96.61,23.26,69.87
Moyna,Tippets,New York Knicks,24,99.58,51.49,5.04,66.17,22.34,15.39
Constance,Dowski,Dallas Mavericks,21,12.83,46.2,35.12,4.27,76.72,36.99
Charlena,Ciapas,Charlotte Hornets,20,5.5,35.94,27.51,37.28,3.88,15.87
Lisette,Mozelle,Dallas Mavericks,25,99.79,53.21,18.55,7.61,33.24,65.94
Justinn,Montgomery,Memphis Grizzlies,30,13.36,18.82,15.06,64.88,90.32,89.03
Robbi,Carbo,Dallas Mavericks,24,68.12,31.4,15.68,78.69,90.4,26.96
Shell,Land,Oklahoma City Thunder,20,40.07,67.67,6.48,51.67,16.05,52.77
Jessy,Pyle,LA Clippers,27,85.72,61.6,51.75,40.52,1.56,24.67
Phedra,Bashemeth,Charlotte Hornets,22,4.27,78.03,56.04,30.05,31.79,18.03
Leontine,Erskine,New York Knicks,18,31.06,55.45,97.41,44.08,26.09,41.64
Sandie,Crudden,Denver Nuggets,18,74.54,91.56,25.33,30.33,47.36,64.13
Shaine,Swigart,Washington Wizards,20,54.76,64.59,66.82,83.4,62.07,85.36
Nonnah,Harriman,Milwaukee Bucks,28,64.35,71.14,83.66,83.85,79.7,34.27
Ericka,Dudley,Orlando Magic,29,55.09,68.77,32.28,54.16,9.33,82.83
Lynnea,Drisko,Charlotte Hornets,18,71.32,41.38,50.53,15.96,62.6,76.43
Gavrielle,Lattie,Philadelphia 76ers,23,51.28,84.97,52.3,19.97,30.47,80.03
Jenda,Kalinda,Utah Jazz,19,60.13,8.4,39.76,89.61,70.32,37.89
Brietta,Brian,Detroit Pistons,30,99.04,70.28,33.87,80.53,77.12,6.27
Mignon,Corabella,Sacramento Kings,25,88.62,60.07,49.2,35.78,30.74,32.51
Vere,Craggie,New Orleans Pelicans,30,70.85,70.49,16.13,19.41,3.51,52.64
Ruthe,Magdalen,Denver Nuggets,28,58.02,1.18,81.66,12.58,87.61,86.56
Fawne,Lay,Detroit Pistons,30,95.42,91.94,43.4,44.83,25.55,11.49
Bobinette,Norrie,Toronto Raptors,30,72.12,79.19,70.96,98.1,76.82,44.01
Gisela,Quinn,New Orleans Pelicans,29,89.68,11.76,52.96,35.38,19.97,39.06
Yolane,Lynn,LA Clippers,20,51.82,15.95,1.35,48.59,98.51,67.75
Orsola,Elephus,Denver Nuggets,27,38.42,36.09,95.79,70.93,44.85,82.38
Gilligan,Calhoun,Atlanta Hawks,21,93.98,56.6,67.72,85.19,39.15,85.37
Steffane,Decato,Sacramento Kings,27,78,86.42,2.55,83.99,40.64,79.26
Jan,Modie,Cleveland Cavaliers,29,33.64,79.3,24.83,4.89,42.04,26.4
Abbie,Roscoe,Phoenix Suns,22,52.03,99.52,2.29,10.97,21.58,70.35
Kassey,O'Carroll,Minnesota Timberwolves,26,17.64,94.24,80.91,85.06,8.14,99.71
Suzette,Lane,Miami Heat,28,17.25,24.69,82.33,98.71,11.42,70.8
Kaia,Glenden,Toronto Raptors,29,27.79,21.81,98.49,79.06,69.71,97.56
Sadie,Teryn,Indiana Pacers,21,23.62,99.04,19.18,69.17,70.41,4.58
Caressa,Winnick,San Antonio Spurs,25,93.02,79.52,44.11,37.62,70.69,4.31
Chrystel,Kronfeld,Los Angeles Lakers,19,1.15,81.82,54.96,77.09,24.97,11.68
Pollyanna,Schenck,San Antonio Spurs,24,94.15,40.28,8.46,58.24,3.95,13.5
Nadine,Tiffa,San Antonio Spurs,23,70.29,45.72,23.89,7.7,76.56,99.28
Alex,Zetta,Los Angeles Lakers,27,96.73,46.21,68.02,18.7,89.13,72.14
Jorry,Myrilla,Miami Heat,22,22.11,91.59,77.31,86.18,67.87,47.16
Caryl,Audly,Utah Jazz,21,21.28,51.17,40.83,92.69,59.32,76.37
Dotty,Carri,LA Clippers,21,10,49.32,15.47,33.55,10.08,12.68
Malina,Garlinda,Milwaukee Bucks,25,87.24,8.26,64.69,71.46,95.21,79.29
Florie,Zola,Los Angeles Lakers,29,37.75,98.97,64.2,26.8,56.72,67.45
Rhea,Ricarda,Charlotte Hornets,26,15.69,18,23.16,63.09,44.01,31.48
Kerrin,Drisko,Milwaukee Bucks,24,89.25,81.83,27.72,33.8,12.57,13.56
Elmira,Fax,Los Angeles Lakers,25,49.55,35.51,81.8,23.56,61,97.46
Edith,Goddard,Toronto Raptors,21,4.76,58.16,42.09,65.08,99.81,41.89
Etta,Candy,,29,32.59,38.11,98.1,83.57,97.4,37.6
Carmela,Lutero,Phoenix Suns,18,45.2,41.08,64.42,78.24,79.16,54.87
Ninnetta,Noman,Toronto Raptors,25,70.26,43.81,97.6,89.73,66.34,88.02
Anica,Egbert,New Orleans Pelicans,29,29.4,45.03,83.53,17.87,67.44,9.18
Molli,Sherrie,Washington Wizards,23,62.93,67.64,67.25,31.33,38.24,21.21
Blake,Hazlett,Golden State Warriors,26,55.71,93.39,88.46,21.14,88.84,15.29
Dione,Bord,Atlanta Hawks,25,99.39,80.11,51.1,14.17,75.65,73.33
Rosabelle,Kiersten,Toronto Raptors,18,89.17,59.11,14.02,35.36,72.2,96.9
Consuela,Madelene,Denver Nuggets,28,44.87,86.86,13.16,78.46,26.77,8.23
Ardenia,Georgy,Toronto Raptors,23,18.74,31.42,39.43,3.11,64.81,43.4
Kristina,Flyn,Chicago Bulls,18,99.18,28.08,86.95,66.3,38.4,90.06
Felice,Anastatius,Philadelphia 76ers,19,73.23,92.99,79.03,98.87,3.72,70.36
Gianina,Medrek,Oklahoma City Thunder,28,17.33,27.06,39.08,28.64,21.96,46
Kristan,Fiester,Denver Nuggets,29,49.4,15.03,46.07,43.16,90.61,17.59
Deirdre,Fosque,Minnesota Timberwolves,27,66.29,86.77,72.34,85.26,11.85,28.08
Anallese,Seessel,Oklahoma City Thunder,24,30.79,8.27,19.01,1.99,26.28,32.44
Malina,Belanger,San Antonio Spurs,19,20.49,82.08,13.28,76.42,87.4,3.83
Marleah,Rugen,Portland Trail Blazers,24,97.06,88.59,56.7,87.75,18.53,32.36
Lacie,Kermit,,27,42.44,74.09,99.55,23.81,44.15,26.01
Sam,Chem,Oklahoma City Thunder,25,72.91,49.77,6.46,23.65,39.42,92.22
Beverley,Jagir,Oklahoma City Thunder,23,14.66,47.94,14.45,75.14,61.66,57.88
Emma,Mendez,LA Clippers,29,51.42,81.44,89.21,72.15,10.53,83.73
Sissy,Germann,Memphis Grizzlies,24,56.54,72.84,80.03,15.48,3.22,26.45
Miquela,Lilas,New Orleans Pelicans,23,33.11,86.7,88.82,33.6,28.1,93.98
Joy,McNully,Houston Rockets,26,39.57,26.47,41.3,76.95,34.31,25.3
Cassandra,Destinee,Chicago Bulls,20,27.96,5.48,3.39,65.03,60.57,68.68
Liana,Phyllis,Toronto Raptors,30,47.06,85.7,16.02,41.52,57.45,26.4
Phedra,Howlyn,Atlanta Hawks,29,82.86,6.7,38.18,60.06,9.48,1.68
Madeleine,Ries,Detroit Pistons,21,77.6,88.49,82.71,40.04,14.49,79.18
Winny,Sacken,Portland Trail Blazers,22,16.53,62.17,76.51,21.49,33.86,91.29
Ronna,Harl,Houston Rockets,29,57.89,42.32,33.39,20.6,46.28,46.39
Jackie,Gillan,San Antonio Spurs,21,79.2,21.98,61.91,27.64,54.79,94.05
Lolita,Heisel,Philadelphia 76ers,21,64.15,86.36,53.98,64.18,23.9,29.29
Roslyn,Tayib,LA Clippers,26,59.26,52.34,63.52,91.46,38.38,47.38
Winny,Dichy,Memphis Grizzlies,29,61.96,59.24,27.28,92.2,83.51,14.2
Correy,Granoff,Cleveland Cavaliers,27,36.02,41.66,68.21,12.88,69.52,63.3
Pierette,Belldas,Chicago Bulls,27,52.93,60.35,56.88,49.28,10.02,17.28
Steffane,Madaih,Memphis Grizzlies,18,84.23,66.51,23.18,10.89,85.12,55.88
Bernie,Voletta,Detroit Pistons,20,91.29,65.44,76.3,30.13,53.58,42.63
Valera,Hylan,Detroit Pistons,26,9.52,98.66,25.4,25.22,51.08,90.81
Jerry,Kellby,Phoenix Suns,18,96.76,78.99,48.19,9.1,75.15,19.3
Ursulina,Schlosser,Sacramento Kings,21,66.93,75.58,93.05,95.8,10.64,28.49
Michaelina,Dituri,Boston Celtics,26,11.87,82.91,6.26,89.17,10.02,96.36
Teddie,Nedrud,Orlando Magic,19,21.76,93.2,14.07,61.83,51.88,95.52
Elora,Skurnik,Charlotte Hornets,24,17.07,52.9,23.14,60.86,6.45,47.68
Verla,Solitta,Dallas Mavericks,21,29.74,97.85,87.28,83.42,30.74,61.88
Misha,Hanleigh,Sacramento Kings,23,68.51,66.03,95.63,52.73,7.22,73.72
Sharlene,Modie,Brooklyn Nets,23,32.82,61.36,95.51,89.16,49.77,16.28
Catharine,Reneta,Brooklyn Nets,26,85.34,85.92,33.83,60.38,61.98,42.15
Imojean,Kiersten,Sacramento Kings,28,29.49,69.43,48.73,90.94,88.5,64.63
Georgina,Bultman,Detroit Pistons,28,56,70.91,26.63,85.63,86.14,80.54
Mariann,Kathie,Los Angeles Lakers,29,70.48,65.3,83.85,20.89,97.61,24.49
Ronna,Noelyn,Utah Jazz,20,67.88,9.1,52.19,31.76,93.26,21.02
Dari,Shuler,Indiana Pacers,21,26.11,81.77,70.7,8.35,65.12,27.19
Mireielle,Poll,Dallas Mavericks,19,14.21,39.57,61.34,52.07,14.71,88.26
Valli,Thornburg,Phoenix Suns,30,40.86,66.73,91.23,54.41,92.33,12.78
Daune,Zuzana,Dallas Mavericks,20,9.28,89.59,70.46,17.59,51.83,2.47
Mellicent,Dyche,Indiana Pacers,30,73.98,95.17,13.09,97.78,76.86,43.8
Pamella,Isidore,Oklahoma City Thunder,26,96.64,25.73,23.94,5.45,55.25,61.19
Kelly,Fancie,Toronto Raptors,27,75.17,48.94,89.62,99.29,1.03,80.56
Ana,Etom,Philadelphia 76ers,29,50,34.77,85.4,89.94,79.95,83.17
Donnie,Avi,Indiana Pacers,25,14.34,25.14,29.41,19.47,92.82,52.31
Tani,Sidonius,Oklahoma City Thunder,23,97.33,16.59,62.79,18.6,44.63,73.82
Stacey,Dash,Orlando Magic,22,47.86,13.03,2.58,61.79,66.62,32.3
Feliza,Zitvaa,Houston Rockets,30,67.85,19.9,81.88,79.68,62.03,89.49
Berta,Thornburg,Phoenix Suns,24,99.02,33.9,32.35,25.63,51.31,53.43
Dorene,Aprile,Milwaukee Bucks,21,44.54,65.49,36.18,84.7,37.82,43.87
Karly,Oneida,New York Knicks,30,13.78,8.06,37.06,68.25,5.65,12.54
Sabina,Rillings,LA Clippers,20,25.4,90.96,78.76,32.19,10.64,42.56
Shel,Shuler,Los Angeles Lakers,23,87.86,38.99,60.87,62.22,5.49,95.32
Iseabal,Garrison,LA Clippers,18,86.33,99.07,8.95,17.75,6.45,47.48
Britni,Emanuel,San Antonio Spurs,22,10.85,76.36,16.97,67.39,71.09,88.03
Nataline,Leler,Milwaukee Bucks,28,93.99,57.3,58.57,93.59,74.09,14.95
Alex,Bouchard,San Antonio Spurs,30,75.32,75.58,91.68,67.79,15.82,27.86
Kylynn,Cassius,New York Knicks,29,95.6,8.92,41.96,13.17,57.72,1.73
Clementine,Ovid,Atlanta Hawks,22,20.43,41.54,27.13,19.64,45.76,20.99
Molli,Cutlerr,Chicago Bulls,20,63.57,80.16,89.34,85.94,57.99,16.45
Shandie,Amadas,Portland Trail Blazers,24,7.22,15.39,96.93,49.59,50.84,45.15
Kimberley,Konyn,Philadelphia 76ers,21,54.26,2.45,49.54,8.59,11.63,87.78
Tori,Amethist,Utah Jazz,20,64.18,98.94,61.79,7.81,62.68,4.02
Jinny,Alabaster,Toronto Raptors,24,34.96,16.97,61.74,79.52,3.68,53.68
Jan,Lay,Denver Nuggets,27,34.1,15.07,14.15,66.59,45.4,21.98
Sharlene,Hertzfeld,Charlotte Hornets,20,74.74,23.07,76.5,32.67,73.25,5.48
Celene,Ajay,LA Clippers,19,56.48,41.01,12.44,67.14,53.84,32.18
Melanie,Rooney,Atlanta Hawks,20,43.43,92.04,79.85,61.78,27.38,27.31
Augustine,Earlie,Sacramento Kings,19,59.13,84.71,52.47,31.88,27.4,69.44
Edee,Means,Philadelphia 76ers,28,6.46,41.94,23.05,19.26,62.7,24.5
Agnese,Tristram,Detroit Pistons,19,13.83,87.97,73.56,25.07,85.71,62.63
Aubrie,Lubin,Los Angeles Lakers,22,37.99,92.85,84.69,86.62,91.65,32.56
Daune,Sacken,Utah Jazz,26,60.45,58.96,88.74,52.54,72.2,5.23
Phylis,Newell,Indiana Pacers,24,76.92,60.29,3.75,35.07,27.35,96.23
Britni,Vacuva,Boston Celtics,20,14.47,4.1,51.78,34.49,73.94,61.93
Tersina,Gaynor,Cleveland Cavaliers,27,86.21,80.23,39.74,99.68,72.77,85.46
Inga,Flyn,Minnesota Timberwolves,24,23.84,58.66,97.84,57.7,36.42,87.63
Ada,Joni,Portland Trail Blazers,29,32.6,58.93,29.09,64.27,74.19,91.94
Vere,Timon,New York Knicks,30,87.66,45.44,60.11,29.88,11.29,41.15
Adore,Bevin,Portland Trail Blazers,23,84.06,14.6,29.87,67.43,12,76.06
Roslyn,Stover,Utah Jazz,23,11.6,11.55,70.49,37.34,4.2,13.86
Aubrie,Natica,Houston Rockets,27,85.5,12.6,82.64,13.75,59.42,41.35
Nadine,Nunci,New Orleans Pelicans,20,84.81,59.3,51.44,9,5.5,11.16
Marcelline,Brenn,Utah Jazz,29,75.73,1.24,36.96,8.68,45.75,19.95
Beatriz,Ochs,LA Clippers,30,14.94,97.61,30.47,92.56,11.73,28.52
Maryellen,Rad,Boston Celtics,18,64.37,2.12,72.44,11.37,37.65,24.19
Anica,Andrel,Cleveland Cavaliers,25,65.01,1.96,64.95,15.07,33,87.43
Tierney,Gwenore,Philadelphia 76ers,28,43.9,75.11,56.32,41.88,33.71,70.63
Dale,Anastatius,Golden State Warriors,27,17.8,45.85,97.7,36.54,32.38,73.3
Chandra,Viddah,Milwaukee Bucks,25,20.38,48.18,88.18,18.68,72.43,62.74
Ezmeralda,Moseley,Brooklyn Nets,24,39.08,76.77,88.99,57.35,71.56,55.66
Desirae,Tybald,Utah Jazz,22,80.85,67.99,88.76,16.26,40.11,89.39
Ada,Standing,Indiana Pacers,20,87.21,78.89,2.39,49.14,84.39,17.24
Hollie,Pacorro,San Antonio Spurs,26,23.39,70.69,72.32,68.9,52.22,49.44
Meghann,Ahab,Denver Nuggets,26,63.87,81.39,96.46,54.47,12.24,74.47
Anestassia,Toor,Cleveland Cavaliers,30,73.15,5.24,67.52,58.79,39.87,40.5
Wynne,Creamer,,26,34.48,5.64,73.78,22.52,9.48,25.85
Tressa,Gibbeon,Oklahoma City Thunder,21,85.32,80.65,95.08,75.01,11.38,19.51
Georgina,Madelene,Detroit Pistons,20,48.14,22.67,39.04,94.2,66.81,56.54
Margette,Stilwell,Los Angeles Lakers,26,59.89,81.81,53.44,81.54,7.62,92.87
Jennica,Evvie,Memphis Grizzlies,22,64.74,1.31,90.52,15.45,67.9,97.03
Judy,Iaverne,Phoenix Suns,23,2.5,9.68,28.66,1.61,15.74,11.83
Blinni,My,San Antonio Spurs,27,18.02,46.48,71.94,26,1.04,72.97
Grier,Emmaline,Minnesota Timberwolves,23,43.77,58.26,34.33,40.09,55.41,70.25
Katharina,Persse,Miami Heat,25,95.32,92.17,81.75,69.96,31.85,25.45
Kerrin,Alcott,Boston Celtics,26,44.93,61.55,91.83,51.04,42.58,41.87
Nonnah,Pernick,Milwaukee Bucks,27,98.99,90.49,73.52,51.84,41.42,14.61
Demetris,Ephrem,Utah Jazz,29,1.28,32.79,81.07,28.46,95.71,63.98
Emmey,Bultman,Denver Nuggets,23,8.55,87.21,68.4,36.32,39.29,25.89
Krystle,Elbertina,Toronto Raptors,18,44.72,39.12,58.62,73.37,78.04,18.97
Beverley,Abram,Miami Heat,19,28.89,23.88,92.6,12.11,87.71,34.12
Robinia,Lalitta,Dallas Mavericks,29,36.65,82.18,91.21,62.63,90.85,65.24
Dianemarie,Andrel,Charlotte Hornets,24,24.48,56.12,46.46,64.48,68.96,65.6
Cindelyn,Cutlerr,Memphis Grizzlies,22,88.65,85.42,79.9,9.3,43.55,88.09
Emma,Linehan,Utah Jazz,24,24.18,7.02,96.33,4.71,69.53,43.78
Jinny,Pernick,Cleveland Cavaliers,26,97.53,79.23,92.44,82.55,65.6,61.06
Augustine,Sperling,LA Clippers,24,97.36,57.76,78.85,18.33,49.79,94.85
Maisey,Fry,Toronto Raptors,20,24.42,71.98,55.79,60.22,60.47,19.01
Sarette,Ciapas,San Antonio Spurs,23,15.49,16.27,15.12,3.88,52.65,2.6
Ana,Tengdin,San Antonio Spurs,22,76.52,95.14,76.1,4.85,49.86,80.3
Carmela,Screens,Denver Nuggets,24,53.1,51.04,46.54,14.39,98.98,9.15
Blondelle,Sekofski,Detroit Pistons,23,87.37,82.34,77.77,32.79,96.71,27.95
Agathe,Kenney,Memphis Grizzlies,29,27.41,48.2,9.26,84.12,77.48,48.49
Queenie,Kiyoshi,Phoenix Suns,19,40.54,69.32,38.22,32.04,65.15,99.88
Yolane,Dom,Brooklyn Nets,25,43.59,21.3,75.48,82.13,38.1,78.43
Rebeca,Marijo,Phoenix Suns,28,81.05,88.11,32.53,45.92,11.26,70.89
Angela,Roarke,Oklahoma City Thunder,30,56.34,44.99,42.48,8.98,68.2,65.61
Kellen,Shaddock,Portland Trail Blazers,26,10.71,65.76,6.04,63.11,99.44,15.8
Althea,Maroney,Los Angeles Lakers,28,28.22,87.1,28.25,69.1,6.22,18.37
Andeee,Wiener,Philadelphia 76ers,21,25.49,43.32,74.45,3.01,25.64,98.55
Brianna,Rubie,Los Angeles Lakers,22,76.6,56.47,24.31,74.95,79.64,4.19
Christy,Yate,Miami Heat,18,58.2,52.21,92.38,17.63,62.23,63.35
Audrie,Alcott,Dallas Mavericks,30,26.3,84.93,52.82,66.59,14.98,82.35
Inga,Croix,Charlotte Hornets,21,85.73,53.38,31.16,64.63,32.04,73.68
Emmey,Justinn,New York Knicks,24,23.52,12.92,21.47,50.7,66.73,94.71
Brianna,Bakerman,Chicago Bulls,30,82.07,27,26.44,49.71,25.39,25.08
Janis,Cassius,Indiana Pacers,30,1.74,64,36.83,68.72,38.8,49.26
Sue,Duwalt,Milwaukee Bucks,19,32.37,60.43,53.78,33.18,98.53,81.06
Corry,Manolo,Indiana Pacers,25,39.45,24.2,4.46,18.13,53.92,46.58
Bernardine,Ortrude,Los Angeles Lakers,23,75.66,31.6,9.89,92.7,30.12,83.28
Ardys,Tacye,Indiana Pacers,18,99.4,66.17,50.92,57.59,38.99,20.11
Sibella,Nikaniki,Brooklyn Nets,23,5.35,44.78,2.93,14.41,26.74,41.7
Mariele,Christal,Dallas Mavericks,25,42.78,29.98,52.08,48.15,33.35,2.99
Winifred,Terrence,LA Clippers,26,35.01,59.52,32.12,18.71,61.44,41.83
Jessy,Cleo,Indiana Pacers,26,74.87,27.13,47.97,31.77,95.42,36.6
Coral,Center,Portland Trail Blazers,30,4.01,75.46,6,33.96,84.8,86.97
Kylynn,Bury,Brooklyn Nets,23,59.27,15.55,71.67,53.84,76.66,59.57
Celene,Alejoa,Sacramento Kings,22,95.61,95.87,38.03,62.17,46.18,51.73
Roseline,Anyah,Philadelphia 76ers,30,65.75,35.5,26.21,34,54.4,86.03
Tera,Thema,Charlotte Hornets,27,9.23,77.79,7.73,1.04,18.01,14.94
Mellicent,Tippets,,19,24.76,96.1,35.88,9.46,56.27,90.78
Bertine,An,LA Clippers,30,54.92,30.73,68.01,13.32,49.12,2.12
Korrie,Pyle,Toronto Raptors,19,55.77,11.12,67.34,95.02,36.15,7.93
Allis,Arathorn,Detroit Pistons,26,63.49,73.8,65.27,52.75,91.91,62.29
Linet,Darrell,Toronto Raptors,18,92.74,52.61,92.26,83.13,18.48,11.4
Ninnetta,Calhoun,Minnesota Timberwolves,25,3.87,61.33,11.5,26.2,27.38,60.16
Helsa,Deny,Washington Wizards,25,33.79,41.58,67.41,97.33,5.19,81.13
Oona,Ulphia,Sacramento Kings,27,74.89,10.6,62.63,29.9,46.35,91.43
Ida,Taima,Washington Wizards,19,21.17,88.79,77.55,47.95,23.6,13.61
Paulita,Raul,Denver Nuggets,26,27.54,98.2,15.23,69.88,38.54,1.51
Wendi,Clara,Detroit Pistons,18,1.26,71.47,52.03,51.91,72.35,70.32
Zia,Hutchison,Sacramento Kings,24,68.56,7.43,22.47,32.17,44.85,33.82
Merry,Katrine,Chicago Bulls,20,45.13,68.34,94.02,88.9,98.1,96.76
Jaime,Lalitta,New Orleans Pelicans,23,29.6,93.23,80.73,47.07,16.53,89.09
Yvonne,Kylander,New Orleans Pelicans,26,43.42,4,98.18,77.77,1.4,42.62
Peri,Carolin,Oklahoma City Thunder,22,81.43,24.47,61.35,90.49,74.93,36.3
Gwenneth,Cosenza,Dallas Mavericks,20,1.99,24.19,53.53,52.95,69.55,48.08
Alisha,Nance,Milwaukee Bucks,26,58.41,58.89,40.24,96.52,47.45,46.37
Wendi,Neils,Toronto Raptors,29,63.18,37.7,38.07,2.39,84.04,28.36
Louella,Doig,Charlotte Hornets,19,57.43,62.04,67.62,26.07,53.98,14.81
Ursulina,Riordan,Indiana Pacers,25,64.29,66.53,74.92,44.77,34.95,8.83
Bee,LaRue,Cleveland Cavaliers,18,66.03,1.73,58.77,81.05,19.92,31.03
Shandie,Heidt,Utah Jazz,29,1.84,98.34,23.98,87.81,11.11,40.41
Lila,Fairweather,Dallas Mavericks,21,27.52,75.37,1.04,46.9,98.15,54.89
Maurene,Chem,Houston Rockets,20,43.04,89.2,44.36,66.07,60.57,5.21
Ebonee,Kare,LA Clippers,19,75.67,30.17,2.04,13.58,97.4,11.09
Doro,Hubert,Dallas Mavericks,20,2.18,71.34,41.16,20.09,71.73,46.07
Sadie,Maiah,Boston Celtics,27,34.6,21.82,62.06,86.31,58.76,17.93
Atlanta,Himelman,Dallas Mavericks,27,37.4,18.23,43.91,29.2,94.43,82.74
Magdalena,Donoghue,Sacramento Kings,27,26.52,24.06,10.94,28.34,4.1,62.69
Aaren,Alcott,Dallas Mavericks,21,85.64,75.26,45.24,96.11,31.93,33.35
Basia,Stanwood,Brooklyn Nets,22,98.53,2.17,27.46,79.16,28.41,23.68
Nonnah,Lanita,Miami Heat,24,74.3,31.46,97.96,89.54,81.52,16.69
Ofilia,Fredi,,29,71.12,64.61,90.31,59.63,55.25,81.66
Dione,Hanleigh,Golden State Warriors,22,71.6,35.71,98.87,7.75,43.94,5.32
Anthia,Tryck,New Orleans Pelicans,30,47.87,89.8,88.74,92.62,51.51,74.88
Gilligan,Ellerey,Memphis Grizzlies,18,3.56,57.31,74.24,38.79,6.96,25.79
Bobinette,Barbey,LA Clippers,27,2.09,97.8,5.77,62.33,29.58,89.86
Tilly,Raul,Miami Heat,29,73.97,97.23,23.45,36.99,36.06,64.51
Tamqrah,Santoro,Washington Wizards,18,72.82,47.57,81.95,79.5,9.42,1.3
Winifred,Rheingold,Chicago Bulls,26,17.72,55.46,9.24,11.75,20.51,57.41
Courtnay,Philipp,Atlanta Hawks,26,72.55,93.74,2.73,31.98,79.67,90.18
Bertine,Giff,Portland Trail Blazers,23,47.48,34.59,41.61,11.05,72.69,32.42
Mamie,Cressida,Los Angeles Lakers,19,33.84,3.92,54.94,21.6,76.69,78.76
Jemie,Bultman,Cleveland Cavaliers,20,29.32,38.54,12.45,11.97,47.11,90.84
Evita,Dom,Dallas Mavericks,20,34.61,88.88,74.42,18.81,42.7,12.49
Tamqrah,Hertzfeld,Oklahoma City Thunder,19,68.22,11.84,77.85,41.41,45.66,80.93
Peri,Annice,Los Angeles Lakers,30,97.26,80.61,81.33,11.25,12.95,39.54
Renae,Brodench,Phoenix Suns,19,73.12,23.36,15.79,9.15,39.21,52.08
Lucille,Taam,Los Angeles Lakers,29,21.13,70.93,76.24,46.54,14.07,74.19
Lily,Dulciana,Milwaukee Bucks,23,45.98,99.76,44.76,20.43,28.32,15.14
Raf,Thar,San Antonio Spurs,29,57.34,4.73,43.5,86.13,34.65,72.82
Dagmar,Rheingold,New York Knicks,23,67.04,2.82,14.23,39.67,29.99,30.24
Kerrin,Jerald,Houston Rockets,19,69.04,62.06,69.08,9.35,37.16,12.87
Chere,Warthman,Milwaukee Bucks,22,46.21,87.37,7.63,13.55,37.59,84.35
Maryellen,Esmaria,Toronto Raptors,24,28.31,49.26,26.31,65.44,47.54,75.66
Shandie,Lindemann,Brooklyn Nets,23,4.41,17.09,14.59,51.52,51.22,96.21
Therine,Sinegold,Chicago Bulls,26,8.49,6.95,58,19.51,66.42,74.27
Augustine,Zitvaa,Minnesota Timberwolves,23,31.49,62.09,53.19,51.26,56.68,4.46
Janis,LaRue,Atlanta Hawks,18,54.99,75.25,19.65,15.77,96.68,23.61
Kelly,Randene,Washington Wizards,18,66.46,56.76,5.04,33.74,66.97,1.32
Esmeralda,Holbrook,Atlanta Hawks,30,21.18,97.65,9.51,86.34,66.75,51.54
Elyssa,Abbot,Portland Trail Blazers,19,55.32,24.28,20.39,36.94,50.44,14.97
Genovera,Sheedy,Toronto Raptors,28,15.61,48.31,11.29,95.77,55.45,43.64
Evita,Azeria,Milwaukee Bucks,25,40.53,55.2,70.74,22.73,84.38,50.37
Dorthy,Dorcy,Milwaukee Bucks,19,13.38,2.8,37.99,73.67,80.14,37.63
Jennica,Brady,Philadelphia 76ers,23,98.45,69.76,59.64,72.16,6.26,58
Daune,Swanhildas,Indiana Pacers,21,18.36,87.94,98.37,37.86,90.3,50.03
Bobinette,Hewitt,Philadelphia 76ers,25,91.37,45.1,65.47,3.13,43.38,29.57
Julieta,Shanley,Cleveland Cavaliers,28,58.97,45.34,71.58,95.38,34.92,22.84
