firstname,lastname,team,age,trueShooting,usage,assist,rebound,defensive,blocks
Georgetta,Sabella,Denver Nuggets,27,95.47,71.09,22.19,26.23,63.89,26.49
Lorenza,Moseley,Atlanta Hawks,24,30.03,97.01,64.51,18.64,95.68,89.56
Susette,Madelene,Golden State Warriors,29,79.97,37.6,43.03,37.24,20.01,31.32
Bernardine,Eugenia,San Antonio Spurs,19,90.37,51.67,25.11,55.89,72.74,1.76
Philis,Screens,Orlando Magic,29,29.17,30.51,73.65,7.96,95.54,80
Jolyn,Evangelia,Houston Rockets,24,90.45,53.7,76.24,49.41,55.06,78.43
Althea,Kauppi,Atlanta Hawks,27,75.48,74.59,43.41,99.19,22.8,89.29
Noelle,Tristram,Washington Wizards,25,68.19,63.13,9.08,95.11,52.92,55.59
Glynnis,Denis,Atlanta Hawks,20,58.15,24.08,47.44,32.93,69.35,36.41
Blinni,Ahab,LA Clippers,25,81.1,13.25,3.18,33.59,41.06,72.73
Edyth,Kaete,Atlanta Hawks,24,40.84,94.54,53.24,49.39,87.44,47.57
Deane,Tacye,Los Angeles Lakers,19,73.69,58.04,9.45,23.86,29.03,70.36
Elora,Bakerman,Washington Wizards,27,76.89,62.24,96.81,65.41,82.45,24.45
Maye,Wattenberg,Dallas Mavericks,22,21.51,56.49,32.33,23.36,60.1,9.45
Selia,Presber,Miami Heat,24,66.78,73.66,38.16,43.53,77.23,66.5
Lindie,Orlene,Miami Heat,18,16.85,4.6,67.91,12.3,14.46,72.21
Cassandra,Pattin,Milwaukee Bucks,19,86.7,19.72,89.7,39.25,44.32,35.35
Rozele,Auberbach,San Antonio Spurs,30,71.08,75.69,57.2,65.84,15.03,3.07
Lusa,Corrine,Sacramento Kings,25,79.13,94.02,52.61,69.73,82.51,29.36
Dede,Henrie,Los Angeles Lakers,29,47.13,19.12,65.06,81.71,47.71,85.08
Ivett,Narton,Orlando Magic,27,47.03,90.01,9.04,81.86,83.17,34.84
Cissiee,Suanne,LA Clippers,20,13.43,85.79,29.45,30.09,21.03,41.91
Hettie,Tayib,Toronto Raptors,19,44.89,20.95,6.93,50.71,4.12,46.94
Reeba,Frendel,Detroit Pistons,20,93.41,1.91,46.31,35.45,47.44,63.7
Nelle,Ovid,Detroit Pistons,27,51.72,43.35,89.71,10.79,14.71,22.24
Kial,Toffic,Miami Heat,24,42.77,81.9,92.02,53.82,53.63,64.65
Nollie,Alisia,Indiana Pacers,23,53.22,38.98,98.25,35.97,82.82,29.54
Mady,Corilla,Cleveland Cavaliers,21,2.4,54.66,23.88,10.54,52.17,31.53
Evita,Raimondo,Portland Trail Blazers,26,33.45,89.46,73.16,58.57,79.56,32.69
Krystle,Selway,Miami Heat,27,27.14,84.2,56.94,62.97,33.94,73.46
Nyssa,Darrell,Dallas Mavericks,29,97.23,78.07,87.07,36.84,33.76,70.32
Loree,Publia,Miami Heat,27,55.81,29.13,74.25,38.37,89.37,4.92
Verla,Monaco,Toronto Raptors,21,81.65,7.15,47.45,57.67,77.54,50.11
Blondelle,Bollay,Indiana Pacers,18,13.89,83.09,55.83,10.56,94.29,53.07
Patricia,Baudin,New Orleans Pelicans,21,28.3,91.84,49.21,65.98,97.32,59.52
Petronia,Colleen,Detroit Pistons,20,86.1,39.11,89.75,60.58,59.62,2.74
Catharine,Ramona,Los Angeles Lakers,30,28.49,45.82,41.86,9.8,58.37,89.27
Lonnie,Helfand,New Orleans Pelicans,22,64.53,95.16,85.96,94.76,26.1,1.32
Celene,Kimmie,Phoenix Suns,20,64.3,55.11,36.69,85.37,64.8,55.68
Ekaterina,Bronk,Charlotte Hornets,20,61.28,78.51,22.82,34.06,48.32,60.15
Nataline,Rudolph,,20,13.85,6.3,7.97,95.89,37.73,14.22
Corene,Cookie,Denver Nuggets,21,52.01,94.79,3.3,85.55,96.15,73.32
Pollyanna,Hazlett,New Orleans Pelicans,27,47.01,61.46,60.62,32.74,49.7,99.19
Cristabel,Nerita,Toronto Raptors,18,50.16,82.69,99.81,28.4,58.01,62.55
Averyl,Carolin,Philadelphia 76ers,27,42.55,31.87,12.7,71.1,61.98,56.4
Paulita,Sharl,New York Knicks,21,71.26,39.36,75.04,64.17,1.58,22.4
Marnia,Karl,Boston Celtics,18,86.23,64.61,52.46,48.06,40.33,74.14
Edith,Junie,Phoenix Suns,24,49.25,19.23,29.51,84.39,97.3,75.91
Eve,Orlene,Brooklyn Nets,25,71.2,19.73,91.5,15.23,49.97,55.48
Kathi,Cherianne,Sacramento Kings,26,73.23,12.75,1.46,58.73,33.21,43.01
Dorothy,MacIntosh,Los Angeles Lakers,30,25.44,53.19,54.13,50.78,55.72,77.52
Nita,Elsinore,Milwaukee Bucks,25,74.38,71.52,70.57,48.54,12.64,44.91
Imojean,Ambrosia,Milwaukee Bucks,30,57.81,97.99,8.02,47.51,65.21,95.15
Silvana,Sholley,Indiana Pacers,20,18.79,77.8,73.8,82.54,64.14,85.83
Sheree,Ashely,Brooklyn Nets,21,96.99,9.58,82.46,92.93,35.68,68.34
Ebonee,Wandie,Chicago Bulls,18,24.48,97.04,45.52,18.69,79.49,77.49
Sabina,Milson,Oklahoma City Thunder,20,96.42,45.91,89.17,50.69,7.71,87.88
Janenna,Darbie,New Orleans Pelicans,27,26.85,55.78,96.73,48.72,16.99,70.35
Ariela,Michella,Toronto Raptors,19,90.32,97.76,85.84,5.82,65.77,19.22
Lita,Stover,San Antonio Spurs,18,48.79,46.73,56.13,36.12,21.89,30.1
Cassondra,Erb,Toronto Raptors,27,83.87,75.96,49.21,64.69,3.29,75.81
Elmira,Elsinore,Brooklyn Nets,19,6.65,3.7,36.96,36.29,31.15,32.5
Nataline,Fabiola,Washington Wizards,23,62.67,66.31,49.53,24.17,54.28,3.79
Joane,Sancho,Philadelphia 76ers,30,91.19,85.41,89.06,78.86,32.41,88.14
Regina,Sheedy,New York Knicks,27,53.77,55.86,32.52,12,70.09,1.38
Rubie,Grimbly,LA Clippers,20,35.26,12.74,69.51,6.92,32.05,84.82
Drucie,Leary,Washington Wizards,18,91.98,68.84,20.07,14.13,97.22,68.6
Brena,Ade,Houston Rockets,20,64.37,72.56,64.92,53.54,18.79,57.67
Vevay,Henrie,Houston Rockets,21,31.75,84.7,67.86,75.68,88.58,58
Millie,Parette,Golden State Warriors,30,26.27,25.98,21,66.73,63.72,70.99
Cecile,Lubin,Oklahoma City Thunder,28,30.02,46.01,32.1,9.23,81.85,20.8
Leontine,Serilda,San Antonio Spurs,24,69.6,13.28,72.91,24.2,75.48,88.99
Kittie,Eiser,Boston Celtics,24,36.6,31.48,19.02,64.11,60.91,54.98
Chloris,Schlosser,San Antonio Spurs,23,33.77,63.56,63.22,49.62,61.18,78
Elvira,Flyn,Brooklyn Nets,25,9.87,13.85,52.65,94.34,80.75,16.69
Tamqrah,Soneson,Miami Heat,23,91.17,4.16,74.02,98.17,77.45,89.01
Karolina,Reneta,Cleveland Cavaliers,28,69.3,14.59,63.13,78.38,18.73,63.45
Wilma,Garek,Oklahoma City Thunder,28,34.11,33.48,54.12,1.05,91.76,40.95
Sophia,Ammann,Philadelphia 76ers,19,72.48,98.97,56.14,55.71,71.14,71.52
Dorothy,Valoniah,Indiana Pacers,24,89.9,93.38,42.68,67.44,23.6,57.11
Nikki,Salvidor,New Orleans Pelicans,27,23.97,93.9,10.61,77.36,19.47,95.87
Philis,Dex,Toronto Raptors,30,97.15,47.28,31.93,9.35,72.18,7.46
Ida,Pillsbury,Indiana Pacers,18,30.05,36.2,1.97,3.19,86.31,57.35
Nita,Nicoline,San Antonio Spurs,20,96.69,32.08,23.92,88.05,15.49,48.49
Isa,August,Indiana Pacers,20,72.32,36.44,74.02,87.95,33.41,21.36
Donnie,Mike,Philadelphia 76ers,26,18.51,28.73,12.18,40.74,77.07,14.5
Sidoney,Dominy,Washington Wizards,23,30.02,92.52,29.39,4.63,73.9,69.94
Hermione,Thilda,Chicago Bulls,19,48.1,71.36,29.98,79.99,21.54,67.07
Marita,Helve,LA Clippers,30,73.61,24.45,22.01,6.34,31.3,30.19
Tani,O'Rourke,Houston Rockets,26,23.77,99.31,79.84,43.71,75.29,96.43
Ottilie,Guthrie,Charlotte Hornets,23,67.87,92.81,1.66,95.39,93.48,43.35
Ellette,Sigfrid,Memphis Grizzlies,19,31.67,47.43,14.7,78.29,34.28,68.01
Hayley,Etom,Miami Heat,22,63.9,83.46,47.51,25.35,27.87,44.29
Jinny,Presber,Washington Wizards,19,36.52,95.74,79.35,93.39,26.73,32.54
Vivia,Grimbly,San Antonio Spurs,27,12.71,74.8,31.21,51.21,56.02,29.8
Trixi,Henrie,Charlotte Hornets,19,84.66,64.76,41.35,21.28,40.75,69.61
Odessa,Stav,Minnesota Timberwolves,24,54.42,17.81,44.57,63.48,85.19,72.92
Ruthe,Wattenberg,Chicago Bulls,30,95.19,17.08,51.64,37.73,55.05,61.05
Marguerite,Hachmin,Boston Celtics,20,50.79,68.71,38.09,75.35,75.83,66.41
Ada,Tamsky,Dallas Mavericks,29,18.87,30.83,44.21,78.86,9.04,79.82
Valli,Jotham,Detroit Pistons,26,7.08,12.23,34.39,63.44,67.58,16.31
Brena,Bahr,Toronto Raptors,24,20.45,85,37.75,14.27,20.65,70
Allis,Noam,Phoenix Suns,19,60.99,17.96,99.17,99.41,45,15.19
Damaris,Amadas,Atlanta Hawks,19,77.53,83.02,17.62,33,44.08,98.47
Chickie,Kinnard,Milwaukee Bucks,29,74.92,38.63,15.37,42.28,3.95,71.11
Georgetta,Madaih,New York Knicks,20,9.08,33.54,32.14,51.51,12.34,58.61
Pearline,Schroth,Detroit Pistons,23,9.09,24.25,71.74,79.99,51.16,70.67
Dulcinea,Tjon,Brooklyn Nets,23,64.96,86.58,99.31,35.51,99.1,13.47
Jillayne,Fry,Golden State Warriors,24,43.45,31.01,12.74,21.97,43.98,87.5
Amelia,Merell,Golden State Warriors,26,15.93,44.26,90.67,33.96,2.8,85.08
Marcelline,Emmy,Houston Rockets,28,46.4,91.2,27.47,33.37,67.14,56.25
Trudie,Casimir,Indiana Pacers,25,15.09,60.93,28.56,74.63,20.1,6.05
Mamie,Magdalen,Utah Jazz,26,57.96,99.66,56.34,55.14,87.88,92.4
Cecile,Bebe,Dallas Mavericks,21,76.79,58.32,96.3,29.08,96.5,4.33
Eugine,Dorcy,Utah Jazz,26,73.34,13.88,74.48,92.2,63.88,87.79
Willetta,Peti,Orlando Magic,30,26.01,68.14,19.82,22.19,19.02,62.79
Merle,Kermit,Denver Nuggets,29,98.33,87.54,86.82,66.1,48.11,86.73
Hettie,Olnee,Miami Heat,23,99,61.89,30.43,14.37,96.5,35.1
Audrie,Garek,Utah Jazz,22,73.76,79.62,43.44,78.39,23.73,63.69
Gusty,Posner,Chicago Bulls,29,15.16,52.35,6.99,17.13,28.29,11.71
Jan,Liebermann,New York Knicks,25,66.6,2.31,64.68,3.58,75.54,42.06
Trixi,Havens,New Orleans Pelicans,30,69.72,40.84,77.27,1.97,95.58,49.27
Natka,Bobbee,Dallas Mavericks,18,69.59,32.43,23.33,39.09,62.51,74.48
Debee,Belanger,Houston Rockets,22,7.96,60.18,40.77,44.25,23.09,50.43
Maurene,Rudolph,New Orleans Pelicans,18,96.85,7.16,47.13,45.89,5.01,62.68
Nataline,Anselmi,Miami Heat,21,69.42,88.07,7.65,1.13,58.64,95.9
Briney,Cristi,Sacramento Kings,20,42.36,62.54,48.59,20.36,16.5,26.41
Viki,Himelman,Cleveland Cavaliers,23,71.99,9.98,33.89,18.76,22.11,52.06
Tatiania,LaRue,San Antonio Spurs,29,23.93,96.41,39.28,93.94,3.8,21.8
Kara-Lynn,Arquit,Philadelphia 76ers,28,13.22,97.36,96.96,15.77,57.02,83.84
Janenna,Candy,Brooklyn Nets,23,86.77,27.68,73.11,99.74,26.56,73.74
Lita,Cherianne,LA Clippers,25,76.27,96.34,35.58,11.37,94.49,54.85
Emelina,Dunkin,Los Angeles Lakers,24,12.63,43.98,6.49,41.24,6.05,60.89
Imojean,Bonilla,Miami Heat,19,43.82,57.91,10.29,67.76,70.71,98.32
Tressa,Sophronia,Minnesota Timberwolves,24,1.09,80.93,64.17,96.09,30.34,73.26
Ilse,Standing,Boston Celtics,29,74.03,87.97,17.76,69.45,5.35,70.7
Mallory,Truc,Oklahoma City Thunder,27,16.41,62.89,28.58,69.55,98.11,93.42
Sabina,Bertold,Miami Heat,20,85.92,55.4,28.62,99.21,99.45,70.18
Corry,Lewes,Cleveland Cavaliers,27,10.58,64.38,46.54,10.34,55.11,62.76
Odessa,Callista,Detroit Pistons,20,18.42,29.32,73.02,19.28,74.46,86.67
Nanete,Ioab,Detroit Pistons,27,31.42,99.47,52.44,24.4,2.43,58.57
Ninnetta,Emmy,Memphis Grizzlies,26,45.39,1.24,88.48,61.88,84.85,94.45
Hannis,Odell,Miami Heat,21,59.91,29.62,81.7,11.68,73.45,66.9
Florie,Bethany,Chicago Bulls,22,8.92,21.28,8.84,2.49,3.17,40.53
Hayley,Stefa,New Orleans Pelicans,27,20.21,14.77,74.43,53.45,57.53,21.21
Christy,Dalli,Los Angeles Lakers,21,1.39,7.71,48.06,75.97,99.81,51.24
Di,Middleton,Memphis Grizzlies,27,47.03,25.96,73.64,48.71,78.75,36.88
Edee,Cohdwell,Miami Heat,27,16.17,40.73,54.11,99.8,14.67,81.36
Joelly,Emmaline,Brooklyn Nets,21,87.86,37.38,46.65,67.04,83.63,74.36
Ardys,Kaete,Portland Trail Blazers,29,45.89,39.22,10.35,35.2,26.98,43.63
Krystle,Lunsford,Golden State Warriors,21,59.38,71.63,54.67,1.92,29.16,73.12
Shauna,Podvin,Washington Wizards,27,71.23,65.51,19.33,86.39,88.08,36.07
Isa,Dorcy,Sacramento Kings,30,84.22,34.96,51.13,25.51,19.09,68.49
Monika,Pauly,Sacramento Kings,21,33.01,83.83,89.82,37.44,47.93,99.58
Hermione,Abbot,Denver Nuggets,18,32.43,16.85,98.71,78.86,53.88,49.41
Fina,Glenden,New York Knicks,29,16.12,58.28,41.36,25.77,4.16,31.93
Caritta,Iiette,Minnesota Timberwolves,29,52.63,95.22,20.07,65.49,4.93,34.24
Meghann,Wenoa,Denver Nuggets,18,70.21,26.53,74.91,6.86,22.47,25.05
Keelia,Tjon,Atlanta Hawks,21,32.75,49.25,66.6,29,8.71,28.09
Dianemarie,Raffo,Phoenix Suns,22,17.12,74.52,12.08,81.88,54.14,42.86
Alex,Dreda,Brooklyn Nets,26,41.49,85.36,51.69,89.82,16.01,62.89
Brynna,Elo,Denver Nuggets,23,82.98,40.3,40.41,15.47,21.62,42.63
Lonnie,Kronfeld,New Orleans Pelicans,24,8.05,9.52,34.12,8.69,39.67,28.24
Elena,Aloise,Atlanta Hawks,28,83.9,89.11,26.58,9.43,39.78,89.42
Kimmy,Roumell,New Orleans Pelicans,20,31.8,92.33,65.06,83.88,52.1,22.32
Gilda,Tjon,Minnesota Timberwolves,21,67.55,22.31,6.07,76.37,57.58,16.08
Marika,Saree,Toronto Raptors,28,85.36,72.69,48.28,84.11,30.72,51.29
Gloria,Forrer,Houston Rockets,27,20.15,19.91,73.64,72.81,15.95,65.69
Melina,Roarke,Sacramento Kings,21,98.75,84.27,13.42,79.14,91.66,38.43
Elena,Birdella,Miami Heat,24,13.99,75.46,68.42,4.11,46.89,92.21
Marguerite,Arquit,Miami Heat,22,71.73,18.89,24.45,41.85,21.85,92.48
Gloria,Kendrick,Detroit Pistons,20,97.15,22.41,84.31,96.28,36.79,62.46
Nananne,Alarise,Denver Nuggets,25,85.21,39.52,69.45,34.44,44.45,32.66
Nickie,Edee,Indiana Pacers,24,52.36,32.5,88.19,92.04,50.28,36.79
Agnese,Fredi,Atlanta Hawks,19,93.87,20.62,89.14,76.49,6.62,5.14
Tatiania,Jary,Dallas Mavericks,24,65.88,78.6,61.58,80.64,29.35,69.19
Donnie,Cutlerr,Golden State Warriors,28,65.4,20.03,1.42,25.93,51.88,94.4
Sashenka,Haymes,Dallas Mavericks,20,58.35,55.77,7.12,74.21,8.98,56.64
Aurelie,Briney,Atlanta Hawks,27,29.71,35.05,56.67,47.83,58.89,61.92
Ricky,Plato,Boston Celtics,18,3.86,75.74,13.11,12.55,88.52,60.68
Charlena,Florina,Sacramento Kings,23,21.05,92.53,76.8,46.64,47.4,23.22
Dotty,Gunn,Oklahoma City Thunder,22,45.99,52.11,56.87,24.2,22.28,92.87
Tori,Justinn,Cleveland Cavaliers,22,77.47,40.29,13.95,81.92,89.21,71.05
Meghann,Heidt,Cleveland Cavaliers,20,80.18,18.92,25.57,51.26,50.08,56.94
Collen,Prouty,Philadelphia 76ers,23,46.05,36.04,84.06,54.01,35.8,36.33
Eadie,Stanwood,Orlando Magic,20,6.29,29.75,85.11,49.68,26.2,74.87
Liana,Fredi,New Orleans Pelicans,29,49.34,76.37,36.87,86.34,55.11,46.9
Etta,Yusuk,Chicago Bulls,18,41.92,75.35,33.23,59.83,98.3,1.47
Courtnay,Greyson,Charlotte Hornets,25,53.1,34.6,27.37,29.27,14.32,89.22
Dorthy,Riordan,Los Angeles Lakers,22,4.84,62.84,19.12,35.17,84.8,28.94
Helena,Jobi,Los Angeles Lakers,28,51.73,38.85,22.98,83.89,14.06,1.29
Riannon,Pillsbury,Indiana Pacers,22,63.57,62.87,50.24,10.29,16.22,20.15
